BUS NO.,PLATE NO.,COMPANY,GARAGE,CHASSIS NUMBER,ENGINE NUMBER,CASE NUMBER
472122,NDO1039,ES TRANS.,MIRASOL,,,
472123,NDO1038,ES TRANS.,MIRASOL,,,
472124,NBT7746,ES TRANS.,MIRASOL,,,
472125,NBR8377,ES TRANS.,MIRASOL,,,
472126,NBR8376,ES TRANS.,MIRASOL,,,
471918,NBR8375,ES TRANS.,MIRASOL,,,
4719001,NFZ4734,JELL,BALINTAWAK,,,
4719002,NFZ4727,JELL,BALINTAWAK,,,
4719003,NFZ4722,JELL,BALINTAWAK,,,
4719004,NGR6087,JELL,BALINTAWAK,,,
4719005,NFZ4616,JELL,BALINTAWAK,,,
4719006,NFZ4730,JELL,BALINTAWAK,,,
4719007,NFZ4726,JELL,BALINTAWAK,,,
4719009,NFZ4728,JELL,BALINTAWAK,,,
4719010,NFZ4729,JELL,BALINTAWAK,,,
4719011,NGA3527,JELL,BALINTAWAK,,,
4719012,NFZ4724,JELL,BALINTAWAK,,,
4719013,NFZ4735,JELL,BALINTAWAK,,,
4719014,NFZ4723,JELL,BALINTAWAK,,,
4719015,NFZ4725,JELL,BALINTAWAK,,,
4719016,NFZ4617,JELL,BALINTAWAK,,,
4720017,NFZ4731,JELL,BALINTAWAK,,,
4720018,NFZ4808,JELL,BALINTAWAK,,,
4720019,NFZ4816,JELL,BALINTAWAK,,,
4720020,NFZ4813,JELL,BALINTAWAK,,,
4720021,NFZ4732,JELL,BALINTAWAK,,,
4720022,NFZ4809,JELL,BALINTAWAK,,,
4720023,NFZ4810,JELL,BALINTAWAK,,,
4720024,NFZ4750,JELL,BALINTAWAK,,,
4720025,NFZ4811,JELL,BALINTAWAK,,,
4720027,NFZ4748,JELL,BALINTAWAK,,,
4720028,NFZ4745,JELL,BALINTAWAK,,,
4720029,NFZ4747,JELL,BALINTAWAK,,,
4720030,NFZ4807,JELL,BALINTAWAK,,,
4720032,NFZ4736,JELL,BALINTAWAK,,,
4720033,NFZ4737,JELL,BALINTAWAK,,,
4720034,NFZ4738,JELL,BALINTAWAK,,,
4720035,NFZ4739,JELL,BALINTAWAK,,,
4720036,NFZ4740,JELL,BALINTAWAK,,,
4720037,NFZ4742,JELL,BALINTAWAK,,,
4720038,NFZ4743,JELL,BALINTAWAK,,,
4720039,NFZ4741,JELL,BALINTAWAK,,,
4720040,NFZ4733,JELL,BALINTAWAK,,,
4720041,NFZ4707,JELL,BALINTAWAK,,,
4720042,NFZ4709,JELL,BALINTAWAK,,,
4721043,NFZ4720,JELL,BALINTAWAK,,,
4721044,NFZ4721,JELL,BALINTAWAK,,,
4721045,NFZ4719,JELL,BALINTAWAK,,,
4721046,NGP8466,JELL,BALINTAWAK,,,
4721047,NGP8467,JELL,BALINTAWAK,,,
4721048,NGP8468,JELL,BALINTAWAK,,,
4721049,NGP8469,JELL,BALINTAWAK,,,
4721050,NFZ4704,JELL,BALINTAWAK,,,
4721051,NGP8465,JELL,BALINTAWAK,,,
4721052,NFZ4712,JELL,BALINTAWAK,,,
4721053,NGR4684,JELL,BALINTAWAK,,,
4721054,NGP8470,JELL,BALINTAWAK,,,
4721055,NDO1933,JELL,BALINTAWAK,,,
4721056,NGP8471,JELL,BALINTAWAK,,,
4721057,NFZ4708,JELL,BALINTAWAK,,,
4721058,NFZ4702,JELL,BALINTAWAK,,,
4721060,NFZ4711,JELL,BALINTAWAK,,,
4721094,NDO1033,JELL,BALINTAWAK,,,
4719008,NFZ4749,JELL,BALINTAWAK,,,
4720026,NFZ4746,JELL,BALINTAWAK,,,
4720031,NFZ4744,JELL,BALINTAWAK,,,
4721059,NGP8464,JELL,BALINTAWAK,,,
4721061,NFZ4703,JELL,BALINTAWAK,,,
4721062,NDO1932,JELL,BALINTAWAK,,,
4721063,NGP8463,JELL,BALINTAWAK,,,
4721064,NFZ4705,JELL,BALINTAWAK,,,
4721065,NGP8462,JELL,BALINTAWAK,,,
4721066,NFZ4706,JELL,BALINTAWAK,,,
4721067,NFZ4710,JELL,BALINTAWAK,,,
4721068,NFZ4716,JELL,BALINTAWAK,,,
4721069,NGP8472,JELL,BALINTAWAK,,,
4721070,NGR4685,JELL,BALINTAWAK,,,
4721071,NFZ4717,JELL,BALINTAWAK,,,
4721072,NFZ4715,JELL,BALINTAWAK,,,
4721073,NDO1020,JELL,BALINTAWAK,,,
4721074,NDO1019,JELL,BALINTAWAK,,,
4721075,NDO1024,JELL,BALINTAWAK,,,
4721076,NDO1032,JELL,BALINTAWAK,,,
4721077,NDO1022,JELL,BALINTAWAK,,,
4721078,NDO1036,JELL,BALINTAWAK,,,
4721079,NDO1027,JELL,BALINTAWAK,,,
4721080,NDO1035,JELL,BALINTAWAK,,,
4721081,NDO1016,JELL,BALINTAWAK,,,
4721082,NDO1023,JELL,BALINTAWAK,,,
4721083,NFZ4718,JELL,BALINTAWAK,,,
4721084,NGR4683,JELL,BALINTAWAK,,,
4721085,NDO1015,JELL,BALINTAWAK,,,
4721086,NDO1017,JELL,BALINTAWAK,,,
4721087,NDO1021,JELL,BALINTAWAK,,,
4721088,NDO1025,JELL,BALINTAWAK,,,
4721089,NDO1026,JELL,BALINTAWAK,,,
4721090,NDO1031,JELL,BALINTAWAK,,,
4721091,NDO1028,JELL,BALINTAWAK,,,
4721092,NDO1029,JELL,BALINTAWAK,,,
4721093,NDO1030,JELL,BALINTAWAK,,,
4721095,NDO1034,JELL,BALINTAWAK,,,
4721096,NDO1037,JELL,BALINTAWAK,,,
4721097,NDZ5346,JELL,BALINTAWAK,,,
4721098,NDZ5345,JELL,BALINTAWAK,,,
4721099,NDZ5344,JELL,BALINTAWAK,,,
4722108,NEW3061,JELL,BALINTAWAK,,,
471806,NBC7686,KELLEN,BALINTAWAK,,,
471807,NBC7710,KELLEN,BALINTAWAK,,,
471808,NBC7671,KELLEN,BALINTAWAK,,,
471809,NBC7690,KELLEN,BALINTAWAK,,,
471810,NBC7689,KELLEN,BALINTAWAK,,,
471811,NBC7700,KELLEN,BALINTAWAK,,,
471812,NBC7672,KELLEN,BALINTAWAK,,,
471871,NBC7695,KELLEN,BALINTAWAK,,,
471814,NBC7699,KELLEN,BALINTAWAK,,,
471815,NBC7673,KELLEN,BALINTAWAK,,,
471816,NBC7705,KELLEN,BALINTAWAK,,,
471817,NBC7696,KELLEN,BALINTAWAK,,,
471818,NBC7676,KELLEN,BALINTAWAK,,,
471819,NBC7683,KELLEN,BALINTAWAK,,,
471820,NBC7674,KELLEN,BALINTAWAK,,,
471821,NBC7709,KELLEN,BALINTAWAK,,,
471822,NBC7680,KELLEN,BALINTAWAK,,,
471823,NBC7679,KELLEN,BALINTAWAK,,,
471824,NBC7675,KELLEN,BALINTAWAK,,,
471825,NBC7685,KELLEN,BALINTAWAK,,,
471926,NDJ2867,KELLEN,BALINTAWAK,,,
471927,NDJ2868,KELLEN,BALINTAWAK,,,
471928,NDJ2692,KELLEN,BALINTAWAK,,,
471929,NDJ3061,KELLEN,BALINTAWAK,,,
471930,NDJ2858,KELLEN,BALINTAWAK,,,
471871,NBC7695,KELLEN,BALINTAWAK,,,
471906*,NDL7365,EARTH STAR,BALINTAWAK,,,
471913*,NDL7359,EARTH STAR,BALINTAWAK,,,
471905,NBR8350,ES TRANS.,MIRASOL,,,
471901*,NDJ2701,EARTH STAR,MIRASOL,,,
471903*,NDL7374,EARTH STAR,MIRASOL,,,
47019130*,NDJ2698,EARTH STAR,BALINTAWAK,,,
471909*,NDL7362,EARTH STAR,BALINTAWAK,,,
471915*,NDL7357,EARTH STAR,MIRASOL,,,
471904,NBR8353,ES TRANS.,MIRASOL,,,
471902*,NDJ2854,EARTH STAR,BALINTAWAK,,,
471912*,NDL7360,EARTH STAR,MIRASOL,,,
471907*,NDL7364,EARTH STAR,MIRASOL,,,
471908*,NDL7363,EARTH STAR,MIRASOL,,,
471911*,NDL7297,EARTH STAR,BALINTAWAK,,,
471910*,NDL7361,EARTH STAR,MIRASOL,,,
472020*,NDJ7302,EARTH STAR,BALINTAWAK,,,
nan,nan,nan,nan,,,
